CATSPER4	 CATSPERG,CATSPERB,HSPA2,CATSPER1,CATSPER2,CATSPER3,CATSPERD,C1orf101,PPP2R4,RYR2
CEP85	 FLT3,MAP3K13,MAPK8,CASP10,CASP12,CASP14,CASP16,JUN,MAPK14,MAPK15
SH3BGRL3	 ERBB2,EGFR,AHCYL1,SHC1,APP,USP3,STXBP3,UBC
UBXN11	 ZFYVE9,TRAF2,C6orf165,RND2,RND3,RND1,ALPP,SPG21,VCP,VCPIP1
CD52	 TRIM21
AIM1L	 UBC
ZNF683	 TP53,NGF,TNF
LIN28A	 MYLIP,CDKN1A,ZFP36
DHDDS	 NPC2,LOX,MT-ND1,ACACA,PARS2,CDS1,RARS2,UBC,RNASEH2A
HMGN2	 HMGN2,PRKCA,KAT2B,EP300,HMGN1,PRKAA1,RPS6KA3,DEFB4B,DEFB4A,UBE2I
RPS6KA1	 EEF2K,CREB5,CREB3,CREB1,EPHB2,RPS6KA1,TSC2,YWHAB,L1CAM,EGF
